employer_id,vacancy_id,evidence_url,support_team_size_min,support_evidence,evidence_type,mentions_24_7,shift_work
5402004,128395539,https://hh.ru/vacancy/128395539,10,Признаки крупной поддержки: упоминание 24/7/круглосуточно. По правилу B ставим минимум 10.,jobs,1,0
541145,128237662,https://hh.ru/vacancy/128237662,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
5414112,128730387,https://hh.ru/vacancy/128730387,10,"Признаки крупной поддержки: упоминание 24/7/круглосуточно, сменный график/ночные смены. По правилу B ставим минимум 10.",jobs,1,1
551381,127451171,https://hh.ru/vacancy/127451171,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
5599,127861333,https://hh.ru/vacancy/127861333,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
5603511,128860462,https://hh.ru/vacancy/128860462,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
563,126816298,https://hh.ru/vacancy/126816298,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
58320,123432075,https://hh.ru/vacancy/123432075,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
5856778,128618936,https://hh.ru/vacancy/128618936,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
5877717,128736121,https://hh.ru/vacancy/128736121,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
59351,125408795,https://hh.ru/vacancy/125408795,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
606135,127529060,https://hh.ru/vacancy/127529060,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
6066177,128381375,https://hh.ru/vacancy/128381375,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
622121,128858662,https://hh.ru/vacancy/128858662,10,Признаки крупной поддержки: упоминание 24/7/круглосуточно. По правилу B ставим минимум 10.,jobs,1,0
644,128863057,https://hh.ru/vacancy/128863057,40,Прямое указание размера команды поддержки: 40 человек.,jobs,0,0
674883,128871888,https://hh.ru/vacancy/128871888,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
680537,125532181,https://hh.ru/vacancy/125532181,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
68554,119511552,https://hh.ru/vacancy/119511552,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
